date;minimum;median;maximum;items
2022-03-17;2828.32;4614.95;7889.94;209
2022-03-18;2807.6;4578.61;7831.95;209
2022-03-19;2794.19;4559.8;7806.01;209
2022-03-20;2794.42;4559.77;7806.19;209
2022-03-21;2814.85;4591.61;7863.51;209
2022-03-22;2814.85;4589.45;7863.66;209
2022-03-23;2824.68;4606.92;7891.0;209
2022-03-24;2824.68;4604.67;7891.01;209
2022-03-25;2824.68;4604.67;7891.0;209
2022-03-26;2824.68;4604.19;7891.0;209
2022-03-27;2824.63;4604.35;7890.56;209
2022-03-28;2824.84;4604.13;7896.56;209
2022-03-29;2821.9;4604.28;7896.8;209
2022-03-30;2801.23;4572.21;7839.1;209
2022-03-31;2791.03;4558.23;7810.82;209
2022-04-01;2790.66;4557.55;7810.05;209
2022-04-02;2823.43;4603.4;7879.99;209
2022-04-03;2833.8;4623.15;7909.51;209
2022-04-04;2812.79;4591.83;7861.94;209
2022-04-05;2833.63;4623.53;7923.86;209
2022-04-06;2853.31;4657.29;7981.62;209
2022-04-07;2863.69;4676.04;8011.66;209
2022-04-08;2861.48;4675.15;8014.41;209
2022-04-09;2861.48;4675.9;8014.41;209
2022-04-10;2861.27;4675.45;8013.8;209
2022-04-11;2861.27;4675.45;8013.8;209
2022-04-12;2861.27;4675.45;8013.85;209
2022-04-13;2855.4;4676.11;8011.86;209
2022-04-14;2855.23;4676.75;8012.25;209
2022-04-16;2853.63;4676.14;8011.76;209
2022-04-15;2853.63;4676.14;8011.76;209
2022-04-16;2853.68;4672.9;8076.29;209
2022-04-17;2852.87;4668.08;8090.68;209
2022-04-18;2872.86;4703.29;8154.19;209
2022-04-19;2883.4;4719.71;8183.05;209
2022-04-20;2862.8;4685.98;8124.38;209
